"This spreadsheet tracks progress in researching individuals with the name Van Vlaenderen.
Created by Michael Van Flandern (mikeVF@outlook.com) & Constance Van Flandern (ConnieSVF@gmail.com

Hypothesis:
1. Charles Louis Van Vlaenderen's (b,1854) ancestors are possibly a lesser, non-title-holding branch of the 'Heeren van Ursel' 
line (descended from Victor and Adam) that, over the 15th-17th centuries, migrated to and settled in the Bassevelde area.""

Priortized List of Municipalities to Search:
1. Ursel (now part of Aalter) - This is your highest priority.
2. Oosteeklo, Kaprijke, and Boekhoute - The most likely places for the family to spread.
3. Eeklo - The regional economic and legal hub.
4. Gent - For higher-level court and land records (Schepenregisters, Raad van Vlaanderen).

Based on DNA connections with relatives in Belgium we started our research with Civil Registries in Bassevelde.
Once relevent indicies are identified next steps include 1) looking up the record, 2) translating, 3) establishing connection on our tree, 4) documenting in tree. 
Following paternal acestors has led us on the following path: Bassevelde -> Boekhoute -> Bassevelde -> Waarschoot -> Oostwinkle ",,,,,,,,,,,
"Agatha - Online Research Environment of the State Achives of Belgium: https://agatha.arch.be/
Requires login, however user accounts are free to create.",,,,,,,,,,,
,Parish (1580-1795),,,Civil (1870-1920),,,,,,,
Municipality,Birth ,Marriage,Death,Birth,Marriage,Death,Notes,,,,
Bassevelde (Assenade),Complete,Complete,Not Started,Complete,Not Started,Not Started,Charles Louis found b. 13 Jun 1856,,,,
Boekhoute (Assenade),Complete,Complete,Not Started,Not Started,Not Started,Not Started,Ancestors found,,,,
Waarschoot,Complete,Complete,Not Started,Not Started,Not Started,Not Started,Ancestors found,,,,
Oostwinkle,Complete,Complete,Not Started,Not Started,Not Started,Not Started,Ancestors found,,,,
Ursel,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Zomergem,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Lembeke (Kaprijke): Sint- Gillis ,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Sleidinge,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Kaprijke,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Evergem: Sint-Christoffel,In progress,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Aalter: Bellem,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Sint-Martinus Gent,Not Started,Complete,Not Started,Not Started,Not Started,Not Started,,,,,
Lovendegem,In progress,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Sint-Laureins,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Ronsele,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Vinkt,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Eeklo,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Ertvelde Evergem Onze-Lieve-Vrouw-Hemelvaart,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Oosteeklo,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Aalter: Sint-Cornelius,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Ghent,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Wessegem,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Assenede,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Sint-Martens-Leerne (Deinze): Sint-Martinus,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Sint-Martens-Latem,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Knesselare,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Hansbeke (Nevele): Sint-Petrus en Paulus,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Nevele,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Merenfree,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Afsnee (Gent),Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Drongen,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Poeke,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Oedelem,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Maldegem: Sint-Barbara,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Adegem (Maldegem),Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Middleburg-in-Vlaanderen,Not Started,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Lotenhulle,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Zelzate,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Zeveron Deinze,None Listed,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Merendree,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Mariakerke (Ghent),Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
Destelbergen,Complete,Not Started,Not Started,Not Started,Not Started,Not Started,,,,,
